,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
TMEM86B,0.0,0.0,0.0,-0.000792151901927509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001932945212900903,0.0,0.0
AGFG2,0.0,0.0,0.0,-0.0014241602029616256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063284682976814215
PTGR2,0.0,0.0,0.0,-0.0005791801478053853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001251999860890996,-0.003685395367440952
LRRC37A3,0.0,0.0,0.0,-0.001205166165722034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST6GALNAC1,0.0,0.0,0.0,4.854293753599467e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030243353158766048,0.0003000160638749206,0.0,-0.0038095181757998287,0.0
BIRC7,0.0,0.0,0.0,-0.0006879949642344679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004220293460505338,0.0
HDDC2,0.0,0.0,0.0,-0.002338288243942236,0.0,0.0,0.0,0.004587155963302793,-0.0041253130684979706,0.0,-0.0013954133183666552,0.0,0.0,-0.0025643518714650692,0.0
HAS1,0.0,0.0,0.0,-0.001147067120889986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTSE1,0.0,0.0,0.0,-0.00032115517822488103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04264912002526991,0.0
C4orf46,0.0,0.0,0.0,-0.0002997244121488348,0.0,0.0,0.0,0.0,0.0,0.0,-0.002160164188946868,0.0,0.0,0.0,0.0
CENPH,0.0,0.0,0.0,-0.0012625410755537682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A19,0.0,0.0,0.0,-0.0011060577151839927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDNF,0.0,0.0,0.0,-0.0022675984539984873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002260218677236394
LAG3,0.0,0.0,0.0,-0.0017735599780150941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006489723496033499,0.0
NIF3L1,0.0,0.0,0.0,-0.0017456576587574076,0.0,0.0,-0.012768146379802612,0.0,0.0,0.0,0.0,0.00014225444612554587,0.0,0.0,0.0
SNX8,0.0,0.0,0.0,-0.005053320520875396,0.0,0.0,-0.009526413841911469,0.0,0.0,0.0,0.0,0.0,0.0,0.02138343204488339,0.0
ATP10B,0.0,0.0,0.0,-0.0008274238403561088,-0.0064968330849478,0.0,0.0,0.0,0.0,0.0,0.04741389704361888,-0.0017607434945833052,0.0,0.0,0.0
C17orf58,0.0,0.0,0.0,-0.0025772059505317587,0.0,0.0,0.0,0.0,-0.0008686626162788233,0.0,-0.002907139166043147,0.0,-0.003020370478105842,0.0,-0.003949398682443771
HTR5A,0.0,0.0,0.0,-0.0004644802515178714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLIN2,0.0,0.0,0.0,-0.0004609174488006689,0.0,-0.0014226063790051396,0.0,0.004587155963302814,0.0,0.0,0.0,0.0,0.0,-0.0017939468068947655,0.0
WNK2,0.0,0.0,0.0,-0.0011067962791751242,0.0,0.0,0.0,0.0,-0.004171536046733119,0.0,0.0,0.0,0.0,0.0,0.0
TMEM182,0.0,0.0,0.0,-0.000711092908140091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLE6,0.0,0.0,0.0,-0.0003703191362766988,0.0,-0.0006604053518876945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET1,0.0,0.0,0.0,0.02041216477184127,0.0,0.0,-0.0028423482324941587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELL2,0.0,0.0,0.0,0.001628834336752441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004493911052441078,0.0,0.0,-0.0105664293033217
DPH7,0.0,0.0,0.0,-0.002119457934236715,0.0,0.0,0.0,0.0,-0.0028244329615293553,0.0,0.0,0.0,0.0,0.0,0.0
SNCG,0.0,0.0,0.0,-0.0015826828200553136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR5B,0.0,0.0,0.0,-0.001426498108359904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF709,0.0,0.0,0.0,-0.001829060538802151,-0.00689936155221642,-0.0019228313475351325,-0.007748079379227558,0.0,-0.0013920950926449363,0.0,0.0,0.0,0.0,0.0,0.0
RNF128,0.0,0.0,0.0,-0.0012108939045009628,0.0,0.0,0.0,0.0,0.0,0.0,0.0001565367560402185,0.0,0.0,0.0,0.0
PLB1,0.0,0.0,0.0,-0.0009117413123403777,-0.004234196472925954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008380996134513909,0.0
FAM168A,0.0,0.0,0.0,0.003454744401076199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMT2,0.0,0.0,0.0,-0.0031316351780009623,0.0,0.0,0.0,-0.005310254440276641,0.0,0.0,0.0,0.0,-0.015173731451588242,0.0,0.0
EXOC3,0.0,0.0,0.0,-0.011789245162104226,-0.0023829483358171863,0.0,-0.023498348505635265,-0.006464952320694225,0.0,0.0,0.0,0.00888120372360971,0.0,0.0,0.0
USP18,0.0,0.0,0.0,0.03990827155392522,0.0,0.0,0.0,0.0,0.0,-0.004251374340472825,0.0,0.0,0.0,0.0,0.0
ZNF687,0.0,0.0,0.0,-0.001217014512460387,0.0,0.0,0.0,-0.008361955981380292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT10,0.0,0.0,0.0,-0.0007081005716432823,0.0,0.0,0.0,0.0,-0.0007648742098432808,0.0,-0.0005025118247239938,0.0,0.0,0.0,0.0
MORN3,0.0,0.0,0.0,-0.0003454306028144383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
